State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,true_churn,pred_churn_prob,highrisk_model_top10,highrisk_rule,highrisk_and,highrisk_or,risk_reasons
OK,96,415,No,No,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,0,0.9354614609072349,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
WV,94,510,Yes,Yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,0,0.9311624322507278,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
AK,126,415,No,No,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,1,0.2509006469461191,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
VA,170,510,Yes,No,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3,0,0.9299164882581236,True,False,False,True,Top10%_Model
ME,131,510,Yes,Yes,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,1,0.9883919102716187,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
FL,70,510,Yes,No,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,1,0.9386628921099099,True,False,False,True,Top10%_Model
MD,93,408,Yes,No,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0,1,0.9251039948546322,True,False,False,True,Top10%_Model
OH,63,415,Yes,Yes,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,0,0.8550485882739688,True,False,False,True,Top10%_Model
ID,92,415,Yes,No,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43,1,0,0.8680687503629357,True,False,False,True,Top10%_Model
NV,137,415,Yes,No,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,1,0.8460236839047792,True,False,False,True,Top10%_Model
NJ,106,415,No,No,0,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,0,0.8560121039716304,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
TX,97,415,Yes,No,0,143.7,117,24.43,273.0,82,23.21,178.3,81,8.02,10.9,3,2.94,0,0,0.8563115514752722,True,False,False,True,Top10%_Model
MA,118,408,Yes,No,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,0,0.8949973713775893,True,False,False,True,Top10%_Model
VT,146,510,Yes,No,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,0,0.9373092020008952,True,False,False,True,Top10%_Model
ME,113,415,No,No,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,0,0.8313275524619227,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
SD,209,415,No,No,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,0,0.8461038076502616,True,False,False,True,Top10%_Model
SD,128,510,Yes,Yes,32,223.5,81,38.0,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,1,0.8661470348878498,True,False,False,True,Top10%_Model
MT,54,415,No,No,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,1,0.8143379770532544,True,False,False,True,Top10%_Model
AL,86,415,No,No,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,1,0.778904342919539,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
FL,100,510,No,No,0,107.0,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4,1,0.34137318031345987,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
AK,59,510,No,No,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,0,0.5224120850903993,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
AR,179,415,Yes,Yes,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,0,0.9683609200663402,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
CO,159,408,Yes,No,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1,1,0.9524005221631622,True,False,False,True,Top10%_Model
NC,112,415,No,No,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,0,0.7499889331744737,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CA,151,415,Yes,No,0,218.0,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,1,0.9110254138956164,True,False,False,True,Top10%_Model
MO,95,415,Yes,No,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,1,0.8422390816024754,True,False,False,True,Top10%_Model
SD,137,510,No,No,0,242.1,118,41.16,191.0,93,16.24,218.6,50,9.84,14.7,2,3.97,3,0,0.8671055129168578,True,False,False,True,Top10%_Model
KS,137,415,No,No,0,230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,10.7,7,2.89,4,0,0.8532631769804001,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MD,98,415,No,No,0,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,0,0.8918693951543796,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
OH,73,415,No,No,0,183.4,80,31.18,242.0,115,20.57,201.4,100,9.06,7.5,3,2.03,4,0,0.7569393085246323,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
DE,122,510,No,No,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,1,0.594143568876418,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MS,126,415,No,No,0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,7.0,5,1.89,3,0,0.8424896454675938,True,False,False,True,Top10%_Model
WI,85,408,Yes,No,0,165.4,107,28.12,196.0,126,16.66,349.2,110,15.71,9.6,7,2.59,2,0,0.8742890706750832,True,False,False,True,Top10%_Model
NV,71,415,Yes,No,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,1,0.9488310127653667,True,False,False,True,Top10%_Model
ME,92,415,Yes,No,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,1,0.9381350461768462,True,False,False,True,Top10%_Model
MI,93,415,Yes,No,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,1,0.9390205385398273,True,False,False,True,Top10%_Model
SC,88,510,No,No,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,1,0.5326550339773563,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
KY,122,408,No,Yes,27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,0,0.9292643159826427,True,False,False,True,Top10%_Model
MN,152,415,Yes,Yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,1,0.9991809141653469,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
AK,111,415,No,No,0,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,1,0.4016974435310634,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
GA,44,510,No,No,0,288.1,112,48.98,258.0,92,21.93,192.4,90,8.66,10.2,4,2.75,3,1,0.8692837158277192,True,False,False,True,Top10%_Model
MD,85,510,Yes,No,0,216.0,73,36.72,188.2,117,16.0,147.1,98,6.62,3.6,7,0.97,2,0,0.8477574574276131,True,False,False,True,Top10%_Model
NC,133,408,Yes,Yes,32,221.1,137,37.59,264.9,99,22.52,168.9,108,7.6,15.4,4,4.16,2,1,0.9260101823841467,True,False,False,True,Top10%_Model
TX,90,408,Yes,No,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,0,0.9423044981912576,True,False,False,True,Top10%_Model
OR,151,510,No,No,0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,0,0.6281910273879825,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
KS,110,415,Yes,No,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,1,0.9475512058327118,True,False,False,True,Top10%_Model
DE,87,510,No,No,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2.0,4,0,0.8297833117424697,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
TX,75,415,Yes,No,0,222.4,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1,1,0.9629349167483547,True,False,False,True,Top10%_Model
NE,82,408,No,No,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,0,0.6095992887103323,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
WY,129,510,No,No,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,0,0.6465854770576657,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
GA,57,408,Yes,Yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,0,0.9081326422799857,True,False,False,True,Top10%_Model
UT,68,415,No,No,0,162.1,86,27.56,155.0,86,13.18,189.7,87,8.54,11.0,9,2.97,5,1,0.6734980711975592,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
KY,91,415,Yes,No,0,145.0,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,1,0.8697223079032522,True,False,False,True,Top10%_Model
PA,122,415,Yes,No,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,1,0.9188003876550601,True,False,False,True,Top10%_Model
NJ,74,415,No,No,0,230.9,93,39.25,223.0,78,18.96,157.8,101,7.1,9.7,2,2.62,3,0,0.8363419030937606,True,False,False,True,Top10%_Model
MA,127,408,Yes,No,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,1,0.8258823574894425,True,False,False,True,Top10%_Model
MS,107,510,Yes,No,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11.0,9,2.97,2,0,0.9670070999884935,True,False,False,True,Top10%_Model
KS,103,408,Yes,No,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,0,0.8180095701210386,True,False,False,True,Top10%_Model
NV,69,510,Yes,Yes,33,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,1,0.9076408313835702,True,False,False,True,Top10%_Model
CO,121,408,Yes,No,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,1,0.9183917998360789,True,False,False,True,Top10%_Model
NV,77,415,No,No,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,0,0.8969376213695133,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
KS,149,510,No,No,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,0,0.8171569450775721,True,False,False,True,Top10%_Model
MD,52,415,No,No,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,0,0.6688362895052282,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MA,98,510,No,No,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3.0,4,1,0.9313466285223072,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
WA,103,415,No,No,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,0,0.8758628303294587,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
FL,129,415,Yes,No,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,0,0.8627821331905398,True,False,False,True,Top10%_Model
ME,97,510,No,No,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,1,0.61915434507519,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CT,23,510,No,No,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,1,0.8581126018162805,True,False,False,True,Top10%_Model
HI,149,510,No,No,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,0,0.7900956663377035,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
WV,161,415,No,No,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,1,0.5572596880319783,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CO,23,408,No,No,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,0,0.9089158920449907,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
AR,118,415,No,No,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,1,0.966334122215787,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MD,86,408,No,No,0,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,4,0,0.9039059428510622,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
NJ,46,408,No,No,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,1,0.8541127851963918,True,False,False,True,Top10%_Model
VT,63,415,No,No,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,1,0.9102702626820831,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
NY,64,415,Yes,No,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,1,0.9863348915019059,True,False,False,True,Top10%_Model
KS,110,415,Yes,Yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,1,0.8959086794159961,True,False,False,True,Top10%_Model
MI,133,408,No,No,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,1,0.8166327655210527,True,False,False,True,Top10%_Model
UT,161,510,Yes,No,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1,1,0.9432270955515502,True,False,False,True,Top10%_Model
CA,112,415,No,No,0,111.9,92,19.02,114.0,143,9.69,146.8,79,6.61,14.1,3,3.81,5,1,0.7808975977827215,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CT,150,510,No,No,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,0,0.7823991631630136,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MT,60,408,No,No,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2,0,0.820347812977934,True,False,False,True,Top10%_Model
NJ,111,510,No,No,0,176.9,128,30.07,102.8,56,8.74,213.7,84,9.62,10.5,2,2.84,4,1,0.7391669318893249,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NV,64,408,No,No,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5,1,0.7774329735139454,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
WY,106,415,Yes,Yes,26,270.3,111,45.95,215.2,90,18.29,254.0,133,11.43,14.4,7,3.89,1,1,0.8358741760080436,True,False,False,True,Top10%_Model
UT,105,415,No,No,0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6,1,0.7254572659168717,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
GA,132,415,No,No,0,193.3,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,5,1,0.7490869599980785,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
KS,167,415,No,No,0,131.6,120,22.37,211.3,96,17.96,168.3,97,7.57,11.1,4,3.0,4,1,0.6480446001138708,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CA,60,415,Yes,No,0,183.0,110,31.11,206.7,93,17.57,203.8,119,9.17,11.1,6,3.0,1,0,0.9300436655339831,True,False,False,True,Top10%_Model
MN,40,510,Yes,No,0,170.7,55,29.02,179.1,108,15.22,281.9,89,12.69,8.2,9,2.21,3,0,0.9028169613571937,True,False,False,True,Top10%_Model
NH,13,415,No,No,0,193.2,89,32.84,194.4,90,16.52,186.5,104,8.39,9.7,2,2.62,4,0,0.7503802640969711,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MD,172,408,No,No,0,287.1,108,48.81,178.4,125,15.16,153.2,98,6.89,14.4,2,3.89,3,1,0.8860266711833658,True,False,False,True,Top10%_Model
MD,88,415,Yes,No,0,235.1,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,1,0.9917969660518711,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MO,98,415,No,No,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,0,0.822990802836993,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
IL,78,415,Yes,No,0,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1,1,0.864453147702881,True,False,False,True,Top10%_Model
OH,147,415,Yes,Yes,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,8.1,4,2.19,3,0,0.9471115903430042,True,False,False,True,Top10%_Model
OK,159,510,No,No,0,198.8,107,33.8,195.5,91,16.62,213.3,120,9.6,16.5,7,4.46,5,0,0.9019340742226133,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
ND,136,510,Yes,No,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3,0,0.9508009473665218,True,False,False,True,Top10%_Model
MN,138,415,No,No,0,194.3,83,33.03,189.9,97,16.14,232.2,102,10.45,9.0,3,2.43,5,0,0.8645348282890167,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
RI,107,510,Yes,No,0,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,2,0,0.8767303347936933,True,False,False,True,Top10%_Model
ND,81,408,Yes,Yes,37,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,7.9,3,2.13,1,0,0.8725344123249664,True,False,False,True,Top10%_Model
MI,81,408,No,No,0,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,13.2,2,3.56,4,0,0.8289702365183469,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MT,28,415,No,No,0,121.7,48,20.69,125.8,112,10.69,261.6,122,11.77,8.3,2,2.24,6,1,0.8577176188903889,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
RI,111,415,No,No,0,229.4,107,39.0,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4,0,0.7848333199965293,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
OR,135,415,No,No,0,263.8,66,44.85,251.3,116,21.36,200.1,112,9.0,8.4,2,2.27,5,1,0.9442214425350671,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
SC,109,415,No,Yes,46,217.5,123,36.98,233.7,84,19.86,163.9,99,7.38,9.0,3,2.43,4,0,0.8962759558580846,True,False,False,True,Top10%_Model
NY,137,415,Yes,No,0,174.0,123,29.58,161.3,115,13.71,260.7,98,11.73,11.4,3,3.08,2,0,0.9338202858025976,True,False,False,True,Top10%_Model
MS,124,415,No,No,0,251.5,85,42.76,214.2,98,18.21,186.1,71,8.37,11.1,6,3.0,3,0,0.8647366040205725,True,False,False,True,Top10%_Model
WA,90,415,Yes,No,0,148.2,96,25.19,220.4,111,18.73,134.2,97,6.04,9.2,1,2.48,4,1,0.9677611052616416,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
SD,98,415,No,No,0,0.0,0,0.0,159.6,130,13.57,167.1,88,7.52,6.8,1,1.84,4,1,0.1388252142868888,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
TX,50,408,No,Yes,31,302.7,93,51.46,240.5,119,20.44,193.9,103,8.73,13.6,14,3.67,3,0,0.8312359140507464,True,False,False,True,Top10%_Model
VT,129,408,No,No,0,186.0,127,31.62,262.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,0,0.6420340884080092,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
SC,108,415,No,No,0,112.0,105,19.04,193.7,110,16.46,208.9,93,9.4,4.1,4,1.11,4,1,0.6467446476633392,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
OH,65,415,No,No,0,245.7,139,41.77,241.9,113,20.56,285.3,117,12.84,4.2,5,1.13,4,1,0.8911825174759836,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
IN,99,415,Yes,No,0,197.2,127,33.52,156.0,92,13.26,204.1,99,9.18,9.9,6,2.67,4,0,0.945575910106322,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MD,140,415,Yes,Yes,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,11.5,5,3.11,4,0,0.9256860204827403,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
AZ,104,408,No,No,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,0,0.6455601667672751,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MI,81,415,Yes,No,0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3,1,0.9495627530248778,True,False,False,True,Top10%_Model
AL,96,415,Yes,No,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,0,0.890810395028757,True,False,False,True,Top10%_Model
WI,126,415,Yes,Yes,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4,0,0.9596752340647887,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
SD,113,415,Yes,No,0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1,0,0.8274574340467362,True,False,False,True,Top10%_Model
FL,110,415,No,No,0,242.5,110,41.23,162.3,140,13.8,184.1,86,8.28,7.8,3,2.11,4,0,0.782778645833282,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CO,192,415,No,No,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,0,0.8799768529662189,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MD,76,415,Yes,No,0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12.0,7,3.24,1,1,0.953911055955327,True,False,False,True,Top10%_Model
IL,86,415,Yes,No,0,266.1,120,45.24,182.0,92,15.47,206.5,103,9.29,10.3,4,2.78,1,0,0.8422558972290569,True,False,False,True,Top10%_Model
NV,107,510,Yes,No,0,234.1,91,39.8,163.1,105,13.86,282.5,100,12.71,10.0,3,2.7,1,0,0.9212910742584823,True,False,False,True,Top10%_Model
